train_jusqu_a,test_annee,n_train,n_test,auc,taux_defaut_test
2013,2014,227957,223103,0.708797175506342,0.1844977431948472
2014,2015,451060,375546,0.7331264881553964,0.20185010624530683
2015,2016,826606,293105,0.7140229682390977,0.23285853192541922
2016,2017,1119711,169321,0.7104365672489839,0.23132984095298278
